cqlsh> SELECT * FROM timur.task4 WHERE NAME = 'Ivan' ALLOW FILTERING;

 id | dept_name | name
----+-----------+------

(0 rows)

Tracing session: 386fcb40-1054-11eb-a2f3-41899bc8b0fd

 activity                                                                                                                    | timestamp                  | source        | source_elapsed | client
                            REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 08:39:07.575000 |   172.31.78.3 |          66721 | 172.31.78.3
                                                            Processing response from /172.31.77.183 [RequestResponseStage-3] | 2020-10-17 08:39:07.575000 |   172.31.78.3 |          66809 | 172.31.78.3
                                                                     Read 4349 live rows and 0 tombstone cells [ReadStage-1] | 2020-10-17 08:39:07.577000 | 172.31.77.183 |          54043 | 172.31.78.3
                                                                            Enqueuing response to /172.31.78.3 [ReadStage-1] | 2020-10-17 08:39:07.577000 | 172.31.77.183 |          54588 | 172.31.78.3
                             Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 08:39:07.578000 | 172.31.77.183 |          55121 | 172.31.78.3
                                                                     Read 4037 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 08:39:07.594000 |   172.31.75.9 |          83052 | 172.31.78.3
                                                                            Enqueuing response to /172.31.78.3 [ReadStage-3] | 2020-10-17 08:39:07.594000 |   172.31.75.9 |          83181 | 172.31.78.3
                             Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 08:39:07.594000 |   172.31.75.9 |          83413 | 172.31.78.3
                                                                     Read 5583 live rows and 0 tombstone cells [ReadStage-1] | 2020-10-17 08:39:07.604000 |   172.31.75.9 |          92917 | 172.31.78.3
                                                                            Enqueuing response to /172.31.78.3 [ReadStage-1] | 2020-10-17 08:39:07.604000 |   172.31.75.9 |          93391 | 172.31.78.3
                             Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 08:39:07.605000 |   172.31.75.9 |          94116 | 172.31.78.3
                                REQUEST_RESPONSE message received from /172.31.75.9 [MessagingService-Incoming-/172.31.75.9] | 2020-10-17 08:39:07.607000 |   172.31.78.3 |          99042 | 172.31.78.3
